"'LOTE Guameed","'FECHA 01-8","'METODO C.Q/W","'N.DE LITROS 10L+5L","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'Batea","'02-2","'Guadana","'","'450.000 cuadras","'10","'470000","'920.000","'920.000",
"'Motob.","'02.8","'"" "","'","'3,5 5","'","'","'350000","'1270.000",
"'Porven'","'01.23","'C.Q/W","'201 + 101","'euadras","'","'","'500.000","'1 770.000",
"'culbia","'02-21","'C.Q/CO","'","'900.000","'20","'940000","'1840000","'3'610.000",
"'fuclera","'02-21","'Guadaina","'","'Contrato =","'- 4,5","'- cuadras x 110000","'- 495000","'- 4'105 000",
"'T/ra","'02-21","'C.Q/W","'2,5+1,5+1.5","'165 000","'contrato","'160.000","'325000","'4'430000",
"'cologouse","'02-23","'C.Q/W","'52+2,5+2,5","'384000","'11 cuadras","'400.000","'784000","'5'214000",
"'Darubio","'02.29","'Guadana","'","'contrate","'","'","'220000","'5' 434000",
"'L-5","'03-11","'11","'","'11","'$110.000/undra","'","'220000","'5'654000",
"'culebra","'02-29","'C. Q/W","'GLt3L+36","'460 800","'6","'400.000","'860.800","'6'514800",
"'carael","'03-14","'C.Q/CO","'31+1,5 11,5","'195000","'","'240.000","'435000","'6'949.800",
"'","'","'y w","'","'","'","'","'","'",
"'petactory","'03-8","'Derbejuccates","'","'","'11","'","'528000","'7'477.800",
"'porton","'03.","'Guadana","'","'","'","'","'990.000","'8'467.800",
"'cenical","'03-19","'C.Q/10","'2.4","'72000","'","'160.000","'232000","'8'699.800",
"'Dambio","'03","'c.a/w","'T A A 36thst/s","'215400","'","'100000","'375400","'9'075.200",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'73.19335938","'75.04882813","'77.24609375","'77.39257813","'77.58789063","'75.48828125","'77.05078125","'76.61132813","'77.68554688",
"'82.91015625","'85.05859375","'87.54882813","'87.69531250","'87.93945313","'85.54687500","'87.30468750","'86.81640625","'88.03710938",
"'79.54101563","'81.59179688","'84.03320313","'84.13085938","'84.37500000","'82.08007813","'83.74023438","'83.30078125","'84.47265625",
"'71.63085938","'73.48632813","'75.63476563","'75.73242188","'75.92773438","'73.87695313","'75.39062500","'75.00000000","'76.07421875",
"'79.29687500","'81.34765625","'83.74023438","'83.83789063","'84.08203125","'81.78710938","'83.49609375","'83.00781250","'84.17968750",
"'73.09570313","'74.95117188","'77.19726563","'77.29492188","'77.49023438","'75.39062500","'76.95312500","'76.51367188","'77.58789063",
"'79.34570313","'81.39648438","'83.78906250","'83.88671875","'84.13085938","'81.83593750","'83.49609375","'83.05664063","'84.22851563",
"'80.56640625","'82.66601563","'85.10742188","'85.20507813","'85.44921875","'83.15429688","'84.81445313","'84.32617188","'85.54687500",
"'82.37304688","'84.47265625","'86.96289063","'87.10937500","'87.30468750","'84.96093750","'86.66992188","'86.18164063","'87.45117188",
"'81.93359375","'84.08203125","'86.52343750","'86.66992188","'86.86523438","'84.57031250","'86.27929688","'85.79101563","'87.01171875",
"'82.56835938","'84.71679688","'87.20703125","'87.30468750","'87.54882813","'85.20507813","'86.91406250","'86.42578125","'87.69531250",
"'86.42578125","'88.67187500","'91.25976563","'91.40625000","'91.65039063","'89.16015625","'90.96679688","'90.47851563","'91.79687500",
"'72.36328125","'74.26757813","'76.41601563","'76.56250000","'76.75781250","'74.65820313","'76.17187500","'75.78125000","'76.85546875",
"'83.78906250","'85.93750000","'88.47656250","'88.57421875","'88.81835938","'86.42578125","'88.18359375","'87.69531250","'88.96484375",
"'83.44726563","'85.59570313","'88.13476563","'88.28125000","'88.47656250","'86.08398438","'87.84179688","'87.35351563","'88.62304688",
"'83.69140625","'85.83984375","'88.37890625","'88.47656250","'88.72070313","'86.32812500","'88.08593750","'87.59765625","'88.86718750",
"'87.10937500","'89.35546875","'91.94335938","'92.08984375","'92.33398438","'89.84375000","'91.69921875","'91.16210938","'92.48046875",
