"'LOTES","'FECHA","'TIPO DE ABONO Abote K+ Nitrabor","'DOSIS","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO",
"'Libro Pubi","'01-","'"" 11","'100","'14","'1960.000","'6","'270000","'2'230000","'VALOR 2'230000",
"'1","'01-","'"" 11","'""","'27","'3780.000","'14","'630000","'4'410.000","'6'640 000",
"'Rubi 2","'01-","'"" 11","'""","'14","'j'900.000","'8","'360 000","'2'320000","'8'960.000",
"'porton","'01-","'11 ""","'h","'32","'4480.000","'15","'675000","'5'155 000","'14'11 5000",
"'Guamera","'01-23","'11 11","'""","'25","'3'500.000","'13","'585000","'4085000","'18'200.000",
"'tomatora","'01-25","'11 11","'1,","'12","'1 680 000","'5","'225000","'1'905000","'20 105.000",
"'Cenicale","'02-4","'"" "","'""","'12","'1680.000","'6","'270000","'1'950000","'22'055000",
"'Caracol","'01-","'"" 11","'""","'9","'1'260.000","'6","'270000","'1'530000","'23'585000",
"'Batea","'01-29","'"" "","'11","'9","'1'200000","'6","'270000","'1,530000","'25/15000",
"'Motob","'02 5","'"" "","'""","'18","'2'520.000","'10","'450000","'2'970000","'28'085000",
"'lote 5","'","'","'","'","'","'","'","'","'",
"'Danubio","'03-4","'urea","'","'2,5","'250.000","'2.0","'96.000","'346000","'28431.000",
"'Ladera","'02-23","'Aburek + Nitrabur","'100","'12","'j'680.000","'6","'288000","'968000","'30'399000",
"'Ladera","'02.21","'URIA","'50","'2","'200.000 91 Kg","'2","'96000","'296000","'30'695000",
"'","'","'","'","'","'aquater","'","'","'","'",
"'Danubio","'05-26","'Dreach verdadero + Ry","'wgen","'+ Rootex","'Fertigrot 2L","'","'","'","'",
"'","'","'37500 +","'1000","'t 207800","'+99378+","'","'","'","'",
"'","'","'(125g)","'0,5L","'2L","'","'","'","'(963.356)","'",
"'","'","'","'","'","'385.078","'2,0","'96000","'867.356","'31058356",
"'","'","'","'","'","'percaneca","'2) 771356","'","'9118000","'",
"'Danubio","'05-24","'10-26-26-0","'309","'5,5","'660.000","'3,0","'144.000","'804.000","'32462.356",
"'","'","'","'","'","'348178","'3,0","'144000","'118853X","'33'650.890",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'92.28515625","'88.72070313","'94.33593750","'89.69726563","'91.79687500","'94.58007813","'93.16406250","'93.84765625","'92.48046875","'92.48046875",
"'77.88085938","'74.85351563","'79.58984375","'75.68359375","'77.44140625","'79.78515625","'78.61328125","'79.19921875","'78.02734375","'78.02734375",
"'67.38281250","'64.79492188","'68.89648438","'65.52734375","'67.04101563","'69.04296875","'68.06640625","'68.55468750","'67.52929688","'67.52929688",
"'87.79296875","'84.37500000","'89.74609375","'85.35156250","'87.35351563","'89.94140625","'88.62304688","'89.25781250","'87.98828125","'87.98828125",
"'85.79101563","'82.47070313","'87.69531250","'83.39843750","'85.35156250","'87.89062500","'86.62109375","'87.25585938","'85.98632813","'85.98632813",
"'88.47656250","'85.05859375","'90.42968750","'86.03515625","'88.03710938","'90.67382813","'89.35546875","'89.99023438","'88.67187500","'88.67187500",
"'88.37890625","'84.96093750","'90.33203125","'85.93750000","'87.93945313","'90.57617188","'89.25781250","'89.89257813","'88.57421875","'88.57421875",
"'87.59765625","'84.22851563","'89.55078125","'85.15625000","'87.15820313","'89.74609375","'88.47656250","'89.06250000","'87.79296875","'87.79296875",
"'88.62304688","'85.20507813","'90.57617188","'86.13281250","'88.18359375","'90.82031250","'89.50195313","'90.13671875","'88.81835938","'88.81835938",
"'88.52539063","'85.10742188","'90.47851563","'86.08398438","'88.08593750","'90.72265625","'89.40429688","'90.03906250","'88.72070313","'88.72070313",
"'89.45312500","'85.98632813","'91.45507813","'86.96289063","'89.01367188","'91.65039063","'90.33203125","'90.96679688","'89.64843750","'89.64843750",
"'76.07421875","'73.14453125","'77.73437500","'73.92578125","'75.68359375","'77.92968750","'76.80664063","'77.34375000","'76.22070313","'76.22070313",
"'85.40039063","'82.12890625","'87.30468750","'83.05664063","'84.96093750","'87.54882813","'86.27929688","'86.86523438","'85.59570313","'85.59570313",
"'89.16015625","'85.74218750","'91.16210938","'86.71875000","'88.72070313","'91.35742188","'90.03906250","'90.67382813","'89.35546875","'89.35546875",
"'89.74609375","'86.27929688","'91.69921875","'87.25585938","'89.25781250","'91.94335938","'90.62500000","'91.25976563","'89.89257813","'89.89257813",
"'84.13085938","'80.85937500","'85.98632813","'81.78710938","'83.69140625","'86.18164063","'84.96093750","'85.54687500","'84.27734375","'84.27734375",
"'85.79101563","'82.47070313","'87.69531250","'83.39843750","'85.35156250","'87.89062500","'86.62109375","'87.25585938","'85.98632813","'85.98632813",
"'88.13476563","'84.76562500","'90.08789063","'85.69335938","'87.69531250","'90.33203125","'89.01367188","'89.64843750","'88.33007813","'88.33007813",
"'86.18164063","'82.86132813","'88.08593750","'83.78906250","'85.74218750","'88.28125000","'87.01171875","'87.64648438","'86.32812500","'86.32812500",
"'86.32812500","'83.00781250","'88.28125000","'83.93554688","'85.88867188","'88.47656250","'87.20703125","'87.79296875","'86.52343750","'86.52343750",
"'87.69531250","'84.32617188","'89.64843750","'85.25390625","'87.25585938","'89.84375000","'88.52539063","'89.16015625","'87.89062500","'87.89062500",
"'86.23046875","'82.86132813","'88.13476563","'68.50585938","'85.74218750","'88.33007813","'87.06054688","'87.69531250","'86.37695313","'86.37695313",
"'59.27734375","'56.98242188","'60.59570313","'68.50585938","'58.98437500","'60.74218750","'59.86328125","'60.30273438","'59.42382813","'59.42382813",
