"'LOTES","'FECHA","'TIPO DE ABONO si cao 0-3-0.22-2-17","'DOSIS","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'petadora","'07-8","'Thermo-Corrector","'150","'26","'862.264","'6","'288000","'1' 150264","'34801.154",
"'Rubi 2","'07-9","'11 ""","'""","'20","'663 280","'6","'288000","'951280","'35 752 434",
"'Motob","'07-23","'"" 11","'11","'50","'1'658200","'10","'480000","'2'138200","'37'890 634",
"'cenicale","'07-10","', 11","'""","'18","'596952","'4","'192000","'788952","'38679586",
"'T/ra","'07.11","'"" 11","'N","'18","'596 952","'4","'192000","'788952","'39'468538",
"'Batea","'07-12","'11 /","'11","'16","'530624","'3","'1 44000","'674624","'40/43/122",
"'poroecia","'07-4","'11 11","'11","'53","'1757692","'12","'576000","'2'333692","'42476854",
"'Danubio","'09.4","'"" "","'/","'30","'994920","'9","'432000","'1'426920","'43'903774",
"'Rubi1","'07-3","'11 ""","'""","'35","'1'160 740","'10","'480000","'1'640740","'45'544514",
"'Guamera","'09-13","'"" 11","'""","'32","'1'061248","'10","'480000","'1541248","'47085762",
"'Culebra","'09-3","'11 11","'","'35","'1'160740","'15","'720 000","'1880740","'48 966.502",
"'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'333","'","'","'","'","'",
"'","'09-23","'","'","'42","'1'392.888","'16","'768000","'2'160-888","'51127.390",
"'cologure","'","'","'150g","'","'","'","'","'","'",
"'Motobaniba","'11-6","'Drench 2L","'","'","'","'&","'382000","'798.000","'51925390",
"'","'","'S.HaristH.ca tuss","'","'","'","'8 caneean","'414000","'","'",
"'","'","'4L +166+16","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
"'Danubio","'11-20","'S.Marist r.ea","'4","'","'1400004 288000","'4","'212000","'640000","'52565.390",
"'","'","'500 2L/earree","'cameas","'","'428000","'","'","'","'",
"'peladora","'11.29","'17-0-18-2 + Nitrabor","'120","'22","'2'974400","'198000","'","'3'172400","'55737.790",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'93.01757813","'88.47656250","'95.99609375","'89.16015625","'92.96875000","'96.19140625","'94.43359375","'94.82421875","'93.06640625","'94.18945313",
"'87.40234375","'83.15429688","'90.18554688","'83.74023438","'87.35351563","'90.38085938","'88.72070313","'89.11132813","'87.40234375","'88.52539063",
"'89.94140625","'85.59570313","'92.82226563","'86.23046875","'89.89257813","'93.01757813","'91.35742188","'91.74804688","'89.99023438","'91.11328125",
"'88.91601563","'84.57031250","'91.74804688","'85.20507813","'88.86718750","'91.94335938","'90.28320313","'90.62500000","'88.96484375","'90.03906250",
"'89.79492188","'85.40039063","'92.67578125","'86.08398438","'89.74609375","'92.82226563","'91.16210938","'91.55273438","'89.84375000","'90.91796875",
"'89.16015625","'84.86328125","'92.04101563","'85.49804688","'89.11132813","'92.23632813","'90.57617188","'90.91796875","'89.20898438","'90.33203125",
"'89.59960938","'85.25390625","'92.48046875","'85.88867188","'89.55078125","'92.62695313","'90.96679688","'91.35742188","'89.64843750","'90.77148438",
"'88.47656250","'84.17968750","'91.30859375","'84.81445313","'88.42773438","'91.50390625","'89.84375000","'90.23437500","'88.52539063","'89.64843750",
"'89.11132813","'84.81445313","'91.99218750","'85.44921875","'89.06250000","'92.18750000","'90.52734375","'90.86914063","'89.16015625","'90.28320313",
"'88.67187500","'84.37500000","'91.50390625","'85.00976563","'88.62304688","'91.69921875","'90.03906250","'90.42968750","'88.72070313","'89.79492188",
"'88.08593750","'83.78906250","'90.91796875","'84.42382813","'88.03710938","'91.06445313","'89.45312500","'89.79492188","'88.13476563","'89.20898438",
"'90.18554688","'85.79101563","'93.06640625","'86.47460938","'90.13671875","'93.26171875","'91.60156250","'91.94335938","'90.23437500","'91.35742188",
"'86.03515625","'81.83593750","'88.81835938","'82.47070313","'85.98632813","'88.96484375","'87.40234375","'87.74414063","'86.08398438","'87.15820313",
"'85.40039063","'81.25000000","'88.13476563","'81.88476563","'85.35156250","'88.33007813","'86.71875000","'87.06054688","'85.44921875","'86.52343750",
"'89.45312500","'85.10742188","'92.33398438","'85.74218750","'89.40429688","'92.52929688","'90.82031250","'91.21093750","'89.50195313","'90.62500000",
"'79.83398438","'75.92773438","'82.37304688","'76.51367188","'79.78515625","'82.56835938","'81.05468750","'81.39648438","'79.88281250","'80.85937500",
"'85.00976563","'80.90820313","'87.74414063","'81.49414063","'84.96093750","'87.93945313","'86.32812500","'86.71875000","'85.05859375","'86.13281250",
"'87.40234375","'83.15429688","'90.18554688","'83.74023438","'87.35351563","'90.38085938","'88.72070313","'89.11132813","'87.40234375","'88.52539063",
"'88.81835938","'84.47265625","'91.65039063","'85.15625000","'88.76953125","'91.84570313","'90.18554688","'90.57617188","'88.86718750","'89.94140625",
"'85.54687500","'81.39648438","'88.28125000","'81.98242188","'85.49804688","'88.47656250","'86.86523438","'87.20703125","'85.59570313","'86.62109375",
"'89.55078125","'85.20507813","'92.43164063","'85.83984375","'89.50195313","'92.62695313","'90.91796875","'91.30859375","'89.59960938","'90.72265625",
"'85.25390625","'81.10351563","'87.98828125","'81.73828125","'85.20507813","'88.18359375","'86.57226563","'86.91406250","'85.30273438","'86.37695313",
"'76.51367188","'72.80273438","'78.95507813","'73.33984375","'76.46484375","'79.10156250","'77.68554688","'78.02734375","'76.56250000","'77.49023438",
