"'fecha","'kilos café","'N.jornales","'valor.jor","'","'DE","'CAFÉ","'2024","'","'","'",
"'01- 5","'2030","'37","'","'A. kilos","'A.valor","'A.jor","'bultos","'kilos","'","'",
"'01-12","'1308","'34","'1827000","'2030","'1827000","'37","'10","'","'A.bultos","'A.kilos",
"'0-19","'2454","'57","'1 177.000","'3338","'3'004000","'71","'6","'23 30","'10","'23",
"'02-9","'1390","'38","'2'208000","'5792","'5'032000","'128","'12","'","'16","'53",
"'02.16","'2053","'51","'1251000","'7181","'6283000","'166","'7","'26 6","'28","'79",
"'02.23","'3356","'52","'1'851.300","'9235","'8134.300","'217","'10","'","'35","'35",
"'03-1","'1140","'","'3'020400","'12591","'11 154 700","'269","'17","'23 12","'45","'108",
"'03.8","'1198","'32 30","'1'026000","'13731","'12'180700","'301","'5","'35","'62","'120",
"'03 - 15","'506","'10","'1'358200","'14929","'13'538 900","'331","'6","'7","'67","'155",
"'03.22","'1957","'","'455400","'15435","'13'994300","'341","'2","'24","'73","'162",
"'03-27","'1745","'45","'1'761300","'17392","'15755600","'386","'10","'-","'75 85","'186",
"'04-5","'4568","'54","'1570500","'19/37","'17326100","'440","'9","'-","'94","'186",
"'","'2895","'82","'4'301200","'23705","'21'717300","'522","'23","'20","'","'186 206",
"'04-12","'","'50","'2'865500","'26600","'24'582 800","'572","'15","'-","'117","'",
"'04-19","'1849","'25","'1864000","'28449","'26'446900","'597","'9","'20","'132 141","'206 226",
"'04-26","'2082","'35","'2'153800","'30531","'28'600700","'632","'10","'28","'151","'254",
"'05-3","'1926","'35","'1'733000","'32457","'30333700","'667","'10","'-","'101","'254",
"'05-10","'1417","'35","'1'275 300","'33874","'31'609000","'702","'7","'-","'168","'254",
"'05-17","'1144","'23","'1'029600","'35018","'32638600","'725","'5","'28","'173","'282",
"'05-24","'1203","'25","'1'082700","'36221","'33 721300","'750","'6","'8","'179","'290",
"'06-12","'145","'6","'288000","'36366","'34009300","'756","'1","'-","'180","'290",
"'06.21","'603","'25","'795600","'37029","'34'804 900","'781","'3","'17","'183","'307",
"'TOTAL","'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
""'44.06738281","'40.52734375","'41.11328125","'41.77246094","'40.82031250","'41.99218750","'40.35644531","'41.38183594","'41.06445313","'40.77148438","'29.95605469",
"'44.06738281","'41.08886719","'41.67480469","'42.33398438","'41.38183594","'42.57812500","'40.91796875","'41.94335938","'41.62597656","'41.30859375","'29.95605469",
"'62.25585938","'61.08398438","'61.96289063","'62.93945313","'61.52343750","'63.33007813","'60.83984375","'62.40234375","'61.91406250","'61.42578125","'61.18164063",
"'78.61328125","'77.14843750","'78.27148438","'79.49218750","'77.68554688","'79.93164063","'76.80664063","'78.75976563","'78.17382813","'77.58789063","'77.24609375",
"'75.14648438","'73.73046875","'74.80468750","'75.97656250","'74.26757813","'76.41601563","'73.43750000","'75.29296875","'74.70703125","'74.16992188","'73.82812500",
"'81.88476563","'80.37109375","'81.54296875","'82.81250000","'80.95703125","'83.30078125","'80.02929688","'82.08007813","'81.44531250","'80.81054688","'80.51757813",
"'84.47265625","'82.91015625","'84.08203125","'85.44921875","'83.49609375","'85.88867188","'82.56835938","'84.66796875","'84.03320313","'83.39843750","'83.05664063",
"'85.59570313","'83.98437500","'85.20507813","'86.52343750","'84.57031250","'87.01171875","'83.64257813","'85.74218750","'85.10742188","'84.42382813","'84.08203125",
"'88.81835938","'87.15820313","'88.42773438","'89.79492188","'87.79296875","'90.28320313","'86.76757813","'89.01367188","'88.33007813","'87.64648438","'87.30468750",
"'86.86523438","'85.20507813","'86.42578125","'87.79296875","'85.83984375","'88.28125000","'84.86328125","'87.01171875","'86.37695313","'85.69335938","'85.35156250",
"'88.13476563","'86.47460938","'87.69531250","'89.11132813","'87.06054688","'89.59960938","'86.08398438","'88.28125000","'87.59765625","'86.96289063","'86.57226563",
"'88.52539063","'86.86523438","'88.13476563","'89.50195313","'87.50000000","'90.03906250","'86.52343750","'88.72070313","'88.03710938","'87.35351563","'87.01171875",
"'88.28125000","'86.62109375","'87.89062500","'89.30664063","'87.25585938","'89.79492188","'86.27929688","'88.47656250","'87.79296875","'87.10937500","'86.76757813",
"'89.69726563","'88.03710938","'89.30664063","'90.72265625","'88.67187500","'91.21093750","'87.64648438","'89.89257813","'89.20898438","'88.52539063","'88.18359375",
"'84.52148438","'82.95898438","'84.13085938","'85.49804688","'83.54492188","'85.93750000","'82.61718750","'84.71679688","'84.08203125","'83.44726563","'83.05664063",
"'89.16015625","'87.45117188","'88.72070313","'90.13671875","'88.08593750","'90.62500000","'87.10937500","'89.30664063","'88.62304688","'87.98828125","'87.59765625",
"'85.10742188","'83.49609375","'84.71679688","'86.03515625","'84.13085938","'86.52343750","'83.15429688","'85.25390625","'84.61914063","'83.98437500","'83.64257813",
"'89.50195313","'87.84179688","'89.11132813","'90.52734375","'88.47656250","'91.01562500","'87.50000000","'89.69726563","'89.01367188","'88.33007813","'87.98828125",
"'88.62304688","'86.96289063","'88.23242188","'89.59960938","'87.59765625","'90.08789063","'86.62109375","'88.81835938","'88.13476563","'87.45117188","'87.10937500",
"'89.40429688","'87.74414063","'89.01367188","'90.42968750","'88.37890625","'90.91796875","'87.40234375","'89.59960938","'88.91601563","'88.23242188","'87.89062500",
"'89.79492188","'88.13476563","'89.40429688","'90.82031250","'88.76953125","'91.30859375","'87.74414063","'89.99023438","'89.30664063","'88.62304688","'88.23242188",
"'89.25781250","'87.54882813","'88.81835938","'90.23437500","'88.18359375","'90.72265625","'87.20703125","'89.40429688","'88.72070313","'88.03710938","'87.69531250",
"'89.16015625","'87.45117188","'88.72070313","'90.13671875","'88.08593750","'90.62500000","'87.10937500","'89.30664063","'88.62304688","'87.98828125","'87.59765625",
"'92.77343750","'91.01562500","'92.33398438","'93.79882813","'91.69921875","'94.33593750","'90.62500000","'92.96875000","'92.23632813","'91.55273438","'91.16210938",
