"'LOTE","'FECHA","'METODO","'N.DE LITROS","'VALOR","'N.DE JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'10B","'06-19","'Guadaua","'","'","'","'","'198000","'42' 127 . 260",
"'1","'06-20","'Danboyucade","'","'","'12","'","'576000","'42703.260",
"'4","'06-21","'c.q/w","'31tabto,2","'120000","'3,8 euadras","'340.000","'460.000","'43'163 260",
"'7","'06-21","'Guadaia","'","'3,3x$110","'000","'","'363000","'43'526260",
"'1","'06-26","'C.Q/CO","'7,2Lt97","'237000","'","'320000","'557000","'44'083.260",
"'3","'07-5","'Guadawa","'","'","'","'","'616000","'44 699.260",
"'9","'07- 8","'C.Q/W","'3,271ta2","'120 000","'","'184000","'304000","'45'003260",
"'11","'07-28","'c.q/w","'7,2+0,7","'237000","'","'320000","'557000","'45'560.260",
"'10","'07.10","'C.Q/CO","'4,5+1","'161.000","'328000","'","'489000","'46'049.260",
"'Nogales","'07-12","'c.o/co","'3,771.4","'145000","'","'264000","'409.000","'46458260",
"'5","'07 - 19","'co/co","'6L+1,6794","'230000","'","'400.000","'630 000","'47'088.260",
"'13","'07-24","'desbogunder","'","'","'13","'","'6 24000","'47 712.260",
"'3","'07-26","'e - Q/10","'4,SL+1,2+","'0,4=167800","'","'448000","'615800","'48'328.060",
"'7","'08.1","'Guadana","'","'","'","'","'660.000","'48'988.000",
"'6","'08-1","'C.Q/W","'6L+2+1,2","'236000 bevadion","'","'480 000","'716000","'49 704 060",
"'2","'07.29","'","'","'","'","'","'790000","'50'494.000",
"'10A","'08.1","'11 11","'","'","'13","'","'624000","'51'118.060",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'82.66601563","'90.28320313","'92.91992188","'92.82226563","'93.94531250","'92.91992188","'94.28710938","'93.70117188","'94.58007813",
"'75.63476563","'82.66601563","'85.05859375","'84.96093750","'85.98632813","'85.05859375","'86.27929688","'85.74218750","'86.57226563",
"'78.02734375","'85.25390625","'87.74414063","'87.64648438","'88.67187500","'87.74414063","'89.01367188","'88.47656250","'89.30664063",
"'78.56445313","'85.83984375","'88.33007813","'88.23242188","'89.30664063","'88.33007813","'89.59960938","'89.06250000","'89.94140625",
"'78.07617188","'85.30273438","'87.79296875","'87.69531250","'88.72070313","'87.79296875","'89.06250000","'88.52539063","'89.35546875",
"'79.24804688","'86.57226563","'89.06250000","'89.01367188","'90.03906250","'89.06250000","'90.38085938","'89.79492188","'90.67382813",
"'76.36718750","'83.39843750","'85.83984375","'85.74218750","'86.76757813","'85.83984375","'87.06054688","'86.52343750","'87.40234375",
"'78.66210938","'85.93750000","'88.42773438","'88.33007813","'89.40429688","'88.42773438","'89.69726563","'89.16015625","'90.03906250",
"'78.17382813","'85.40039063","'87.89062500","'87.79296875","'88.81835938","'87.89062500","'89.16015625","'88.57421875","'89.45312500",
"'78.36914063","'85.59570313","'88.08593750","'88.03710938","'89.06250000","'88.08593750","'89.35546875","'88.81835938","'89.69726563",
"'76.75781250","'83.83789063","'86.27929688","'86.23046875","'87.20703125","'86.27929688","'87.54882813","'87.01171875","'87.84179688",
"'77.68554688","'84.86328125","'87.30468750","'87.20703125","'88.28125000","'87.30468750","'88.57421875","'88.03710938","'88.86718750",
"'77.19726563","'84.37500000","'86.81640625","'86.71875000","'87.74414063","'86.81640625","'88.03710938","'87.50000000","'88.37890625",
"'77.44140625","'84.57031250","'87.06054688","'86.96289063","'87.98828125","'87.06054688","'88.28125000","'87.74414063","'88.62304688",
"'76.90429688","'84.03320313","'86.47460938","'86.37695313","'87.40234375","'86.47460938","'87.74414063","'87.20703125","'88.03710938",
"'78.71093750","'85.98632813","'88.47656250","'88.37890625","'89.45312500","'88.47656250","'89.74609375","'89.20898438","'90.08789063",
"'73.53515625","'80.32226563","'82.66601563","'82.61718750","'83.59375000","'82.66601563","'83.88671875","'83.34960938","'84.17968750",
"'80.56640625","'87.98828125","'90.57617188","'90.47851563","'91.55273438","'90.57617188","'91.84570313","'91.30859375","'92.18750000",
