"'LOTES","'FECHA","'TIPO DE ABONO","'DOSIS","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'11","'01 - 5","'Verdadoro + Rootex","'","'","'141000","'2","'92000","'233000","'233000",
"'6","'01.10","'Abotek + Nitrabor","'100","'25","'4000.000","'9","'405.000","'4'405000","'4'638000",
"'5","'01.11","'"" 11","'100","'20,5","'3'280 000","'6,5","'292,500","'3'572500","'8'210 500",
"'1A","'02.8","'Nitroma +Nitrabor","'50","'8,0","'1,200.000","'8,0","'384.000","'1'584000","'9'894500",
"'11","'02.21","'1 x 1","'50","'8.0","'1'200.000","'7,0","'336000","'1'536000","'11330500",
"'","'","'","'","'","'","'","'","'","'",
"'11","'05-2","'Drench","'","'","'471844","'2","'96000","'557844","'11 888344",
"'I","'05-9","'Drench","'","'","'471 844","'3","'144000","'615844","'12'504/88",
"'11","'05-27","'Foliar","'","'","'210 065","'2","'98000","'308065","'12812253",
"'1","'05.28","'Foliar","'","'","'210 065","'3","'147000","'357063","'13109318",
"'","'","'1","'","'","'","'","'","'","'",
"'1","'08.8","'Abotekt Nitrabor","'80","'12","'1 680.000","'10","'480000","'2'160000","'15'329318",
"'11","'08.8","'","'80","'13","'1 820 000","'8","'408000","'2'228000","'17'557.318",
"'","'","'","'","'","'","'","'","'","'",
"'Todos","'06.24","'Thermo corrector","'","'406","'","'","'","'","'",
"'","'08- 8","'0-3.0-22-17","'","'33.164","'13464.584","'140","'6744.000","'20208.584","'37765.902",
"'","'","'","'","'x Bulto","'","'","'","'","'",
"'1","'12.20","'17-6-18-2 Nitrabor","'120","'18B","'2'412.000","'","'171.000","'2'583000","'40348902",
"'1-8-3-4","'","'Hidronica","'","'","'9500/Bulto","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'92.57812500","'89.94140625","'95.55664063","'90.38085938","'93.01757813","'95.65429688","'93.21289063","'94.77539063","'91.89453125","'93.70117188",
"'85.49804688","'83.05664063","'88.28125000","'83.49609375","'85.88867188","'88.33007813","'86.08398438","'87.54882813","'84.86328125","'86.57226563",
"'88.42773438","'85.88867188","'91.30859375","'86.37695313","'88.86718750","'91.40625000","'89.06250000","'90.57617188","'87.79296875","'89.55078125",
"'89.06250000","'86.52343750","'91.94335938","'87.01171875","'89.50195313","'92.04101563","'89.69726563","'91.21093750","'88.42773438","'90.18554688",
"'89.25781250","'86.71875000","'92.13867188","'87.15820313","'89.69726563","'92.23632813","'89.89257813","'91.40625000","'88.62304688","'90.38085938",
"'90.57617188","'87.98828125","'93.50585938","'88.47656250","'91.01562500","'93.60351563","'91.21093750","'92.77343750","'89.94140625","'91.74804688",
"'64.20898438","'62.40234375","'66.30859375","'62.69531250","'64.50195313","'66.35742188","'64.64843750","'65.77148438","'63.76953125","'65.03906250",
"'84.61914063","'82.22656250","'87.35351563","'82.66601563","'85.00976563","'87.45117188","'85.20507813","'86.66992188","'84.03320313","'85.69335938",
"'86.37695313","'83.88671875","'89.16015625","'84.37500000","'86.76757813","'89.25781250","'86.96289063","'88.42773438","'85.74218750","'87.45117188",
"'85.83984375","'83.34960938","'88.57421875","'83.83789063","'86.23046875","'88.67187500","'86.42578125","'87.89062500","'85.20507813","'86.91406250",
"'87.79296875","'85.30273438","'90.62500000","'85.74218750","'88.23242188","'90.72265625","'88.37890625","'89.89257813","'87.15820313","'88.91601563",
"'73.87695313","'71.77734375","'76.26953125","'72.16796875","'74.26757813","'76.36718750","'74.41406250","'75.68359375","'73.33984375","'74.80468750",
"'84.57031250","'82.17773438","'87.30468750","'82.61718750","'84.96093750","'87.40234375","'85.15625000","'86.62109375","'83.98437500","'85.64453125",
"'87.06054688","'84.57031250","'89.89257813","'85.00976563","'87.45117188","'89.94140625","'87.64648438","'89.16015625","'86.42578125","'88.13476563",
"'69.67773438","'67.67578125","'71.92382813","'68.06640625","'70.01953125","'71.97265625","'70.16601563","'71.33789063","'69.18945313","'70.55664063",
"'76.90429688","'74.70703125","'79.39453125","'75.14648438","'77.29492188","'79.49218750","'77.44140625","'78.75976563","'76.36718750","'77.88085938",
"'84.13085938","'81.73828125","'86.81640625","'82.17773438","'84.52148438","'86.91406250","'84.71679688","'86.13281250","'83.49609375","'85.15625000",
"'78.27148438","'76.02539063","'80.76171875","'76.41601563","'78.61328125","'80.85937500","'78.80859375","'80.12695313","'77.68554688","'79.24804688",
"'84.81445313","'82.37304688","'87.54882813","'82.81250000","'85.20507813","'87.64648438","'85.40039063","'86.86523438","'84.17968750","'85.88867188",
"'82.95898438","'80.61523438","'85.64453125","'81.05468750","'83.34960938","'85.74218750","'83.54492188","'84.96093750","'82.37304688","'84.03320313",
"'34.86328125","'33.86230469","'35.98632813","'34.05761719","'35.03417969","'36.01074219","'35.10742188","'35.69335938","'34.61914063","'35.30273438",
"'51.85546875","'50.34179688","'53.51562500","'50.63476563","'52.09960938","'53.56445313","'52.19726563","'53.07617188","'51.46484375","'52.49023438",
