"'LOTES","'FECHA","'TIPO DE ABONO 1 x 1","'DOSIS","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR","'ACUMULADO",
"'Tanquen","'01-2","'Abotek + Nitrabor","'","'39","'","'","'","'TOTAL","'VALOR",
"'Taugun","'","'","'","'","'","'","'","'","'",
"'Corona","'","'","'","'","'","'75","'3'375000","'3'375000","'",
"'","'","'","'","'","'","'","'","'","'",
"'palma amarillah","'","'","'","'8,5","'","'","'","'","'",
"'","'","'","'","'8,0","'","'","'","'","'",
"'EDO'S","'01-18","'","'","'24","'","'","'","'","'",
"'","'","'","'","'89,5","'","'","'11635000","'","'15'010.000",
"'","'","'","'","'","'","'","'","'","'",
"'Tanques","'07-8-12 =","'Thermo","'","'33.164","'","'","'","'","'",
"'Poturos","'","'correcto","'150","'52","'1790 640","'18","'864000","'","'265464017664640",
"'","'","'","'","'","'","'","'","'","'",
"'Corona.P","'08-15","'11 11","'150","'50","'1658200","'16","'784000","'2442.200","'20106.840",
"'colegurre","'12-14","'17-0-18-2 +Hidronica","'120","'26","'3'484000","'","'","'","'",
"'","'","'2 f 1","'","'","'$9000/buito","'contrato","'234000","'3'718000","'23824840",
"'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
"'","'","'","'","'","'","'","'","'","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'66.69921875","'64.20898438","'67.87109375","'64.30664063","'66.94335938","'68.06640625","'66.40625000","'67.23632813","'66.30859375","'66.65039063",
"'79.00390625","'76.02539063","'80.37109375","'76.12304688","'79.24804688","'80.61523438","'78.61328125","'79.63867188","'78.51562500","'78.90625000",
"'85.69335938","'82.51953125","'87.20703125","'82.61718750","'86.03515625","'87.45117188","'85.30273438","'86.42578125","'85.20507813","'85.64453125",
"'89.25781250","'85.93750000","'90.82031250","'86.03515625","'89.59960938","'91.06445313","'88.86718750","'89.99023438","'88.72070313","'89.16015625",
"'79.34570313","'76.41601563","'80.76171875","'76.46484375","'79.63867188","'80.95703125","'79.00390625","'80.02929688","'78.85742188","'79.29687500",
"'87.69531250","'84.42382813","'89.25781250","'84.52148438","'88.03710938","'89.50195313","'87.30468750","'88.42773438","'87.15820313","'87.64648438",
"'84.13085938","'81.00585938","'85.59570313","'81.05468750","'84.42382813","'85.83984375","'83.74023438","'84.81445313","'83.59375000","'84.03320313",
"'87.35351563","'84.08203125","'88.86718750","'84.17968750","'87.64648438","'89.11132813","'86.96289063","'88.03710938","'86.81640625","'87.25585938",
"'90.42968750","'87.06054688","'91.99218750","'87.15820313","'90.72265625","'92.28515625","'89.99023438","'91.16210938","'89.89257813","'90.33203125",
"'73.68164063","'70.89843750","'74.95117188","'70.99609375","'73.92578125","'75.14648438","'73.33984375","'74.26757813","'73.19335938","'73.58398438",
"'85.25390625","'82.08007813","'86.71875000","'82.12890625","'85.54687500","'86.96289063","'84.86328125","'85.93750000","'84.71679688","'85.15625000",
"'90.72265625","'87.30468750","'92.28515625","'87.40234375","'91.01562500","'92.57812500","'90.28320313","'91.45507813","'90.13671875","'90.62500000",
"'73.82812500","'71.04492188","'75.09765625","'71.14257813","'74.07226563","'75.29296875","'73.48632813","'74.41406250","'73.33984375","'73.73046875",
"'86.18164063","'82.95898438","'87.69531250","'83.05664063","'86.47460938","'87.93945313","'85.79101563","'86.86523438","'85.64453125","'86.08398438",
"'83.74023438","'80.61523438","'85.20507813","'80.71289063","'84.03320313","'85.44921875","'83.34960938","'84.42382813","'83.25195313","'83.64257813",
"'89.06250000","'85.74218750","'90.62500000","'85.83984375","'89.40429688","'90.86914063","'88.67187500","'89.79492188","'88.52539063","'88.96484375",
"'86.91406250","'83.69140625","'88.42773438","'83.78906250","'87.25585938","'88.72070313","'86.52343750","'87.64648438","'86.37695313","'86.81640625",
"'85.25390625","'82.08007813","'86.71875000","'82.12890625","'85.54687500","'86.96289063","'84.86328125","'85.93750000","'84.71679688","'85.15625000",
"'90.03906250","'86.66992188","'91.60156250","'86.76757813","'90.38085938","'91.89453125","'89.64843750","'90.77148438","'89.50195313","'89.94140625",
