"'LOTES 7","'FECHA","'TIPO DE ABONO 1 x 1","'DOSIS","'BULTOS","'VALOR","'JORNALES","'VALOR","'VALOR TOTAL","'ACUMULADO VALOR",
"'","'01-17","'Abotek t Nitrabur","'100","'28","'3'640 000","'11 9","'495000","'4'135000","'4'135 000",
"'3","'01.18","'it ""","'100","'3","'390000","'2,0","'90000","'480 000","'4'615 000",
"'4 1","'01-19","'11 ""","'100","'11","'1430.000","'7.0","'315000","'1'745.000","'6'360 000",
"'","'01-10","'"" "","'100","'5","'650.000","'2,5","'112500","'762500","'7'122500",
"'8","'03-7","'Nitrabor Nitromag","'45","'4","'520 000","'1,0","'48000","'568000","'7'690500",
"'8","'02-20","'Fertigo +Rootex","'","'x","'","'1, 0","'48000","'116 450","'7'806950",
"'","'","'3L 115kg","'165507","'34600(1,5","'5) 68450","'1,0","'110450","'","'",
"'2","'03-18","'Nitrabort Nitroniag","'45","'","'","'","'","'","'",
"'","'","'/ + 1","'","'9,5","'1235.000","'3,0","'144000","'1379.000","'9185950",
"'6","'04-29","'Nitrabor Nitromag","'45","'1,0","'150000","'1,0","'48000","'198000","'9'383950",
"'","'","'","'","'","'","'","'","'","'",
"'8","'05-3","'Drench","'1 cause","'ea","'414.123","'2,0210","'690000","'510123","'9894073",
"'2","'05-9","'runch.","'3 can","'eas.","'1'581369","'G,Ong","'2.88000","'1869.369","'11763443",
"'","'","'32-22-2-17","'","'","'","'","'","'","'",
"'8","'07.10","'Then 1 mo corrector","'150","'13,8","'457663","'3","'144000","'601.663","'12365105",
"'6","'07 - 11","'11 ""","'11","'3,0","'99 492","'1","'48000","'147.492","'12512597",
"'7","'07-17","'"" 11","'11","'42.0","'1392888","'7","'336000","'1'728.888","'14241485",
"'1","'07-19","'"" "","'11","'6,0","'198984","'115","'72000","'270984","'14512469",
"'3","'08-3","'11 ""","'11","'5,0","'165820","'2,0","'96000","'261820","'14 774 289",
"'4","'08 - 9","'"" 11","'11","'19,2","'636749","'410","'192000","'828.749","'15'603038",
"'6-5","'08-16","'"" "","'","'16,2","'537256","'410","'192000","'729257","'16 332295",
"'2","'12-18","'17-6-18-2+ 14-0-0","'80","'22,0","'","'","'","'","'",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'93.79882813","'91.55273438","'96.14257813","'92.04101563","'94.09179688","'96.43554688","'94.62890625","'95.16601563","'93.06640625","'94.43359375",
"'85.05859375","'83.05664063","'87.20703125","'83.49609375","'85.40039063","'87.45117188","'85.83984375","'86.32812500","'84.42382813","'85.69335938",
"'88.81835938","'86.71875000","'91.01562500","'87.15820313","'89.11132813","'91.30859375","'89.59960938","'90.13671875","'88.13476563","'89.45312500",
"'89.89257813","'87.79296875","'92.18750000","'88.23242188","'90.23437500","'92.43164063","'90.72265625","'91.25976563","'89.20898438","'90.57617188",
"'89.25781250","'87.15820313","'91.50390625","'87.59765625","'89.59960938","'91.79687500","'90.08789063","'90.57617188","'88.57421875","'89.89257813",
"'89.20898438","'87.10937500","'91.45507813","'87.54882813","'89.55078125","'91.74804688","'90.03906250","'90.52734375","'88.52539063","'89.84375000",
"'89.25781250","'87.15820313","'91.50390625","'87.59765625","'89.59960938","'91.79687500","'90.08789063","'90.57617188","'88.57421875","'89.89257813",
"'89.35546875","'87.25585938","'91.60156250","'87.69531250","'89.69726563","'91.89453125","'90.18554688","'90.67382813","'88.67187500","'89.99023438",
"'87.50000000","'85.44921875","'89.69726563","'85.88867188","'87.79296875","'89.94140625","'88.28125000","'88.76953125","'86.81640625","'88.13476563",
"'87.93945313","'85.88867188","'90.18554688","'86.32812500","'88.28125000","'90.42968750","'88.76953125","'89.25781250","'87.30468750","'88.57421875",
"'88.96484375","'86.86523438","'91.21093750","'87.35351563","'89.30664063","'91.50390625","'89.79492188","'90.28320313","'88.28125000","'89.59960938",
"'78.32031250","'76.46484375","'80.27343750","'76.90429688","'78.61328125","'80.51757813","'79.05273438","'79.49218750","'77.73437500","'78.90625000",
"'89.11132813","'87.01171875","'91.35742188","'87.50000000","'89.45312500","'91.65039063","'89.94140625","'90.42968750","'88.42773438","'89.74609375",
"'90.38085938","'88.23242188","'92.62695313","'88.72070313","'90.72265625","'92.91992188","'91.21093750","'91.69921875","'89.69726563","'91.01562500",
"'85.93750000","'83.93554688","'88.13476563","'84.37500000","'86.27929688","'88.37890625","'86.76757813","'87.25585938","'85.30273438","'86.57226563",
"'90.67382813","'88.52539063","'92.91992188","'88.96484375","'90.96679688","'93.21289063","'91.50390625","'91.99218750","'89.94140625","'91.30859375",
"'89.89257813","'87.79296875","'92.18750000","'88.23242188","'90.23437500","'92.43164063","'90.72265625","'91.25976563","'89.20898438","'90.57617188",
"'90.86914063","'88.76953125","'93.16406250","'89.20898438","'91.21093750","'93.45703125","'91.74804688","'92.23632813","'90.18554688","'91.55273438",
"'90.67382813","'88.52539063","'92.91992188","'88.96484375","'90.96679688","'93.21289063","'91.50390625","'91.99218750","'89.94140625","'91.30859375",
"'91.01562500","'88.86718750","'93.31054688","'89.35546875","'91.35742188","'93.60351563","'91.89453125","'92.38281250","'90.33203125","'91.69921875",
"'91.25976563","'89.11132813","'93.55468750","'89.59960938","'91.60156250","'93.84765625","'92.08984375","'92.62695313","'90.57617188","'91.89453125",
"'91.30859375","'89.16015625","'93.60351563","'89.64843750","'91.65039063","'93.89648438","'92.13867188","'92.67578125","'90.62500000","'91.94335938",
"'92.72460938","'90.52734375","'95.01953125","'91.01562500","'93.01757813","'95.31250000","'93.55468750","'94.09179688","'91.99218750","'93.35937500",
